DATE,LAICLAIMS
2/15/1986,7632
2/22/1986,8608
3/1/1986,8250
3/8/1986,8611
3/15/1986,8621
3/22/1986,8614
3/29/1986,7027
4/5/1986,8683
4/12/1986,11887
4/19/1986,9787
4/26/1986,8749
5/3/1986,.
5/10/1986,.
5/17/1986,8200
5/24/1986,8450
5/31/1986,.
6/7/1986,9466
6/14/1986,9820
6/21/1986,9065
6/28/1986,8520
7/5/1986,6558
7/12/1986,12026
7/19/1986,10239
7/26/1986,9134
8/2/1986,8917
8/9/1986,8835
8/16/1986,8034
8/23/1986,7809
8/30/1986,8410
9/6/1986,7665
9/13/1986,7736
9/20/1986,7643
9/27/1986,7537
10/4/1986,8247
10/11/1986,10726
10/18/1986,9156
10/25/1986,8646
11/1/1986,8036
11/8/1986,8101
11/15/1986,9295
11/22/1986,9454
11/29/1986,6289
12/6/1986,10250
12/13/1986,10105
12/20/1986,9641
12/27/1986,6771
1/3/1987,6406
1/10/1987,15836
1/17/1987,11312
1/24/1987,9589
1/31/1987,8598
2/7/1987,8935
2/14/1987,7925
2/21/1987,7597
2/28/1987,8043
3/7/1987,6977
3/14/1987,7492
3/21/1987,6992
3/28/1987,6243
4/4/1987,6623
4/11/1987,9159
4/18/1987,6586
4/25/1987,7588
5/2/1987,7267
5/9/1987,6894
5/16/1987,6663
5/23/1987,7210
5/30/1987,6516
6/6/1987,8232
6/13/1987,7026
6/20/1987,7507
6/27/1987,6522
7/4/1987,5353
7/11/1987,8876
7/18/1987,6304
7/25/1987,5914
8/1/1987,5261
8/8/1987,5751
8/15/1987,5510
8/22/1987,4928
8/29/1987,5390
9/5/1987,5456
9/12/1987,4135
9/19/1987,5098
9/26/1987,4874
10/3/1987,4893
10/10/1987,6907
10/17/1987,5140
10/24/1987,5265
10/31/1987,5692
11/7/1987,5609
11/14/1987,5422
11/21/1987,6687
11/28/1987,4083
12/5/1987,7338
12/12/1987,6325
12/19/1987,6809
12/26/1987,5136
1/2/1988,5388
1/9/1988,12667
1/16/1988,8946
1/23/1988,6256
1/30/1988,6610
2/6/1988,8358
2/13/1988,4288
2/20/1988,4985
2/27/1988,5684
3/5/1988,5387
3/12/1988,4847
3/19/1988,4620
3/26/1988,4542
4/2/1988,4089
4/9/1988,7834
4/16/1988,5104
4/23/1988,4750
4/30/1988,5072
5/7/1988,5244
5/14/1988,5358
5/21/1988,5465
5/28/1988,5283
6/4/1988,5885
6/11/1988,5628
6/18/1988,5008
6/25/1988,4792
7/2/1988,4819
7/9/1988,7557
7/16/1988,6367
7/23/1988,5537
7/30/1988,4671
8/6/1988,4795
8/13/1988,4615
8/20/1988,4435
8/27/1988,4789
9/3/1988,4682
9/10/1988,4165
9/17/1988,4528
9/24/1988,4340
10/1/1988,3837
10/8/1988,6417
10/15/1988,4396
10/22/1988,4802
10/29/1988,4704
11/5/1988,5190
11/12/1988,3979
11/19/1988,6655
11/26/1988,4507
12/3/1988,6399
12/10/1988,5681
12/17/1988,5484
12/24/1988,5699
12/31/1988,5854
1/7/1989,8720
1/14/1989,7893
1/21/1989,5479
1/28/1989,5669
2/4/1989,5697
2/11/1989,4928
